iter	Passed	Remaining
400	40882	468874
401	41007	469032
402	41360	471795
403	41589	473129
404	41789	474134
405	41873	473805
406	41953	473446
407	42000	472712
408	42067	472204
409	42120	471548
410	42188	471051
411	42239	470372
412	42305	469869
413	42359	469232
414	42445	468950
415	42545	468814
416	42649	468734
417	42708	468156
418	42799	467938
419	42868	467471
420	42978	467456
421	43040	466923
422	43139	466788
423	43201	466245
424	43278	465882
425	43331	465257
426	43404	464847
427	43460	464253
428	43542	463946
429	43599	463372
430	43670	462944
431	43728	462387
432	43799	461964
433	43850	461337
434	43926	460973
435	44062	461243
436	44138	460874
437	44188	460243
438	44270	459948
439	44342	459545
440	44414	459149
441	44470	458590
442	44539	458161
443	44594	457596
444	44661	457155
445	44720	456626
446	44793	456256
447	44875	455967
448	44940	455506
449	44994	454941
450	45058	454477
451	45114	453939
452	45193	453634
453	45251	453113
454	45318	452690
455	45376	452170
456	45439	451706
457	45494	451165
458	45561	450755
459	45615	450206
460	45680	449765
461	45738	449265
462	45804	448846
463	45860	448330
464	45937	448015
465	45994	447507
466	46096	447441
467	46146	446873
468	46217	446504
469	46267	445942
470	46333	445531
471	46386	444999
472	46450	444571
473	46501	444023
474	46566	443604
475	46622	443105
476	46702	442842
477	46755	442317
478	46834	442041
479	46898	441628
480	46967	441259
481	47018	440728
482	47089	440375
483	47146	439901
484	47222	439609
485	47270	439049
486	47341	438714
487	47394	438205
488	47459	437811
489	47509	437283
490	47576	436911
491	47625	436370
492	47690	435985
493	47742	435479
494	47807	435098
495	47857	434580
496	47924	434217
497	47973	433683
498	48035	433283
499	48084	432760
500	48150	432392
501	48201	431895
502	48266	431520
503	48316	431013
504	48382	430654
505	48433	430157
506	48494	429755
507	48543	429248
508	48609	428888
509	48659	428392
510	48722	428018
511	48772	427519
512	48837	427157
513	48886	426666
514	48955	426339
515	49007	425869
516	49070	425499
517	49121	425024
518	49203	424816
519	49253	424334
520	49317	423982
521	49367	423498
522	49432	423149
523	49477	422636
524	49539	422265
525	49589	421794
526	49652	421434
527	49701	420959
528	49764	420600
529	49814	420136
530	49876	419772
531	49927	419315
532	50001	419054
533	50050	418585
534	50112	418229
535	50159	417744
536	50221	417392
537	50273	416955
538	50338	416620
539	50391	416200
540	50462	415918
541	50529	415606
542	50620	415495
543	50672	415066
544	50744	414799
545	50806	414458
546	50878	414190
547	50932	413778
548	50998	413472
549	51055	413084
550	51122	412780
551	51176	412378
552	51244	412087
553	51299	411695
554	51367	411400
555	51422	411012
556	51486	410693
557	51539	410287
558	51628	410162
559	51686	409798
