iter	RMSE
0	1.160660075
1	1.1011716
2	1.062972178
3	1.034564975
4	1.017270407
5	1.003267479
6	0.9943977252
7	0.9871227501
8	0.9809613855
9	0.9743985052
10	0.971215671
11	0.9689942268
12	0.963288485
13	0.9602556832
14	0.9571070633
15	0.9543706997
16	0.9525106165
17	0.9513873754
18	0.9492551474
19	0.9480927835
20	0.9464338115
21	0.9445113022
22	0.9437665282
23	0.9415752454
24	0.9401519339
25	0.9378298531
26	0.9367621496
27	0.93435848
28	0.9336478076
29	0.9312656124
30	0.9300972023
31	0.9297402736
32	0.9294802971
33	0.9269947778
34	0.9241444246
35	0.9238830389
36	0.9212255897
37	0.9208356512
38	0.9194341759
39	0.9165563746
40	0.9145986517
41	0.9126545287
42	0.9117645855
43	0.9085302347
44	0.9082545146
45	0.9079724748
46	0.9066960879
47	0.9034921272
48	0.9018030835
49	0.8989512932
50	0.8983682117
51	0.8982673128
52	0.8981169103
53	0.8978034592
54	0.8976911264
55	0.8952698766
56	0.8939634668
57	0.8938230348
58	0.8936978179
59	0.8907138543
60	0.8906420074
61	0.8883463333
62	0.8863467225
63	0.8861547598
64	0.8837345554
65	0.8835760541
66	0.8833165689
67	0.8832492038
68	0.8829246124
69	0.881479
70	0.8797315672
71	0.8769312754
72	0.8768249199
73	0.8750723016
74	0.8733249533
75	0.8731871739
76	0.8714317294
77	0.8713687334
78	0.8712456521
79	0.8706877354
80	0.8692909514
81	0.8691949719
82	0.8691323058
83	0.8669433724
84	0.8656100339
85	0.8651071245
86	0.8634426006
87	0.8632270759
88	0.8627105555
89	0.8611866124
90	0.8603865188
91	0.8599825078
92	0.8598759689
93	0.8597083868
94	0.8581075742
95	0.8561885042
96	0.8539608464
97	0.8529672838
98	0.8508977497
99	0.8504184532
100	0.8491614714
101	0.8491167875
102	0.847634778
103	0.8461189402
104	0.8457313375
105	0.8456563627
106	0.8437754316
107	0.8437431216
108	0.8434405012
109	0.8432852316
110	0.8412878398
111	0.8410700508
112	0.8401950808
113	0.8381852995
114	0.8371198615
115	0.8352985817
116	0.8344465126
117	0.8341139854
118	0.8331291213
119	0.8320932457
120	0.832060277
121	0.8316087218
122	0.8305309354
123	0.8290105868
124	0.8288881778
125	0.826767635
126	0.8265088226
127	0.826155818
128	0.8260942555
129	0.8260606686
130	0.8258628326
131	0.8258203604
132	0.8245633069
133	0.8242354944
134	0.8229750749
135	0.8226593949
136	0.8226069191
137	0.8225293185
138	0.8207521252
139	0.8207203238
140	0.8206350411
141	0.8200774229
142	0.8195285239
143	0.818810027
144	0.816922811
145	0.8155305233
146	0.8154674413
147	0.8153424969
148	0.8144091778
149	0.8143780492
150	0.8143461726
151	0.8128740731
152	0.8127527139
153	0.8126034636
154	0.8115792579
155	0.8111684745
156	0.8111378934
157	0.8107521962
158	0.810603965
159	0.8105586575
160	0.8096597612
161	0.8086431063
162	0.8069784112
163	0.8069527948
164	0.806549915
165	0.80462181
